level_0,index,X_Raster,Y_Raster,rock_types
567,848,260.0,348.0,0.0
568,849,800.0,348.0,0.0
569,850,803.0,348.0,0.0
570,851,806.0,348.0,0.0
571,852,807.0,348.0,0.0
572,853,811.0,348.0,0.0
573,855,261.0,349.0,0.0
574,856,262.0,349.0,0.0
575,857,804.0,350.0,0.0
576,858,805.0,351.0,0.0
577,859,809.0,351.0,0.0
578,860,813.0,351.0,0.0
579,861,802.0,352.0,0.0
580,862,809.0,352.0,0.0
581,863,810.0,352.0,0.0
582,865,801.0,353.0,0.0
583,866,802.0,353.0,0.0
584,867,804.0,353.0,0.0
585,868,810.0,353.0,0.0
586,869,795.0,354.0,0.0
587,870,796.0,354.0,0.0
588,871,803.0,354.0,0.0
589,872,810.0,354.0,0.0
590,873,788.0,356.0,0.0
591,875,797.0,356.0,0.0
592,876,808.0,356.0,0.0
593,877,788.0,357.0,0.0
594,878,810.0,357.0,0.0
595,879,807.0,358.0,0.0
596,880,809.0,358.0,0.0
597,881,810.0,358.0,0.0
598,882,790.0,359.0,0.0
599,883,791.0,359.0,0.0
600,885,795.0,360.0,0.0
601,886,797.0,361.0,0.0
602,887,803.0,361.0,0.0
603,888,805.0,361.0,0.0
604,889,786.0,362.0,0.0
605,890,789.0,362.0,0.0
606,891,794.0,362.0,0.0
607,892,801.0,362.0,0.0
608,893,802.0,362.0,0.0
609,895,782.0,363.0,0.0
610,896,785.0,363.0,0.0
611,897,791.0,363.0,0.0
612,898,780.0,364.0,0.0
613,899,789.0,364.0,0.0
614,900,792.0,364.0,0.0
615,901,800.0,364.0,0.0
616,902,781.0,365.0,0.0
617,903,782.0,365.0,0.0
618,905,790.0,365.0,0.0
619,906,792.0,365.0,0.0
620,907,793.0,365.0,0.0
621,908,798.0,365.0,0.0
622,909,803.0,365.0,0.0
623,910,804.0,365.0,0.0
624,911,785.0,366.0,0.0
625,912,783.0,367.0,0.0
626,913,785.0,367.0,0.0
627,915,792.0,367.0,0.0
628,916,793.0,367.0,0.0
629,917,796.0,367.0,0.0
630,918,781.0,368.0,0.0
631,919,782.0,368.0,0.0
632,920,787.0,368.0,0.0
633,921,789.0,368.0,0.0
634,922,791.0,368.0,0.0
635,923,792.0,368.0,0.0
636,925,781.0,369.0,0.0
637,926,783.0,369.0,0.0
638,927,786.0,369.0,0.0
639,928,797.0,369.0,0.0
640,929,779.0,370.0,0.0
641,930,790.0,370.0,0.0
642,931,792.0,370.0,0.0
643,932,794.0,370.0,0.0
644,933,798.0,370.0,0.0
645,935,784.0,371.0,0.0
646,936,785.0,371.0,0.0
647,937,797.0,371.0,0.0
648,938,779.0,372.0,0.0
649,939,781.0,372.0,0.0
650,940,785.0,372.0,0.0
651,941,788.0,372.0,0.0
652,942,779.0,373.0,0.0
653,943,782.0,373.0,0.0
654,945,784.0,373.0,0.0
655,946,790.0,373.0,0.0
656,947,791.0,373.0,0.0
657,948,783.0,374.0,0.0
658,949,787.0,374.0,0.0
659,950,785.0,375.0,0.0
660,951,792.0,375.0,0.0
661,952,793.0,375.0,0.0
662,953,787.0,376.0,0.0
663,955,792.0,376.0,0.0
664,956,778.0,377.0,0.0
665,957,787.0,377.0,0.0
666,958,788.0,379.0,0.0
667,959,777.0,381.0,0.0
668,960,775.0,382.0,0.0
669,961,780.0,383.0,0.0
670,962,365.0,399.0,0.0
671,963,363.0,401.0,0.0
672,965,386.0,401.0,0.0
673,966,387.0,401.0,0.0
674,967,363.0,402.0,0.0
675,968,371.0,402.0,0.0
676,969,374.0,402.0,0.0
677,970,378.0,402.0,0.0
678,971,363.0,403.0,0.0
679,972,375.0,403.0,0.0
680,973,378.0,403.0,0.0
681,975,364.0,404.0,0.0
682,976,365.0,404.0,0.0
683,977,368.0,404.0,0.0
684,978,369.0,404.0,0.0
685,979,372.0,404.0,0.0
686,980,373.0,404.0,0.0
687,981,376.0,404.0,0.0
688,982,377.0,404.0,0.0
689,983,381.0,404.0,0.0
690,985,362.0,405.0,0.0
691,986,365.0,405.0,0.0
692,987,369.0,405.0,0.0
693,988,370.0,405.0,0.0
694,989,371.0,405.0,0.0
695,990,373.0,405.0,0.0
696,991,377.0,405.0,0.0
697,992,379.0,405.0,0.0
